index,x,y,theta,v_r,v_l
0,2.008195638656616,-1.9815683364868164,1.8311972618103027,2.349849233970101,2.649668664247114
1,1.9970108270645142,-1.942345380783081,1.833950161933899,2.349849233970101,2.649668664247114
2,1.9704313278198242,-1.8497445583343506,1.8497953414916992,2.3784943451610303,2.593773370075435
3,1.9463249444961548,-1.768072485923767,1.865885853767395,2.5030728904937485,2.4925444794819347
4,1.9216926097869873,-1.6867214441299438,1.8690111637115479,2.526833485406098,2.1698081614217903
5,1.897190809249878,-1.608475923538208,1.8387304544448853,2.694887314051924,2.192596947198227
6,1.8745241165161133,-1.528955340385437,1.7895607948303223,2.5793668025546466,2.052172427646466
7,1.8562437295913696,-1.4505205154418945,1.7357141971588135,2.7138299128997363,2.1311300135914206
8,1.8418445587158203,-1.3697773218154907,1.6765004396438599,2.5548986570245313,2.0542515810773896
9,1.8323872089385986,-1.290283441543579,1.6224980354309082,2.6990159542059997,2.257179970353456
10,1.827347755432129,-1.2074451446533203,1.5756741762161255,2.5135030961140434,2.1014338271881208
11,1.8261159658432007,-1.1388740539550781,1.5387015342712402,2.61967050382029,2.3405346334630526
12,1.8282474279403687,-1.056781530380249,1.5071132183074951,2.3872045255916032,2.3428004987074895
13,1.8333276510238647,-0.9753049612045288,1.4986861944198608,2.493747371934867,2.5815562166103057
14,1.8395650386810303,-0.8906732797622681,1.5053035020828247,2.3267199175348403,2.4032790050873523
15,1.8451011180877686,-0.8082502484321594,1.513345718383789,2.3965336994095905,2.5596426828325645
16,1.85012948513031,-0.7247658967971802,1.5286972522735596,2.2266969296817116,2.383893496237853
17,1.8533958196640015,-0.6553438305854797,1.54267418384552,2.41683005675461,2.538006036121661
18,1.855926275253296,-0.5723511576652527,1.5558186769485474,2.3621912539758028,2.3621873462054714
19,1.8571350574493408,-0.5020281672477722,1.5578755140304565,2.477418900250678,2.477417192619705
20,1.8582050800323486,-0.41867804527282715,1.5578464269638062,2.319495929449378,2.5214829533712675
21,1.8594903945922852,-0.33520931005477905,1.5751636028289795,2.4365290583000467,2.6348450120013345
22,1.8594605922698975,-0.24966859817504883,1.595611333847046,2.3215035643130038,2.4042800430189697
23,1.857611060142517,-0.16727447509765625,1.6065069437026978,2.4992146116687968,2.456961164176629
24,1.8545846939086914,-0.08399288356304169,1.6042301654815674,2.3820941715702264,2.34368944515892
25,1.851793885231018,-0.0023399335332214832,1.6001710891723633,2.4992145397510317,2.4569612411499344
26,1.8492666482925415,0.08094724267721176,1.5958328247070312,2.1378433028019073,2.444584173847209
27,1.8477150201797485,0.16132129728794098,1.6196625232696533,1.9134718387290814,3.00993150558429
28,1.8451646566390991,0.24333345890045166,1.7117321491241455,1.6349152040237114,3.200202040725448
29,1.835589051246643,0.3257753252983093,1.860158920288086,1.4739256082118735,3.161968823765234
30,1.815370798110962,0.4032402038574219,2.025531530380249,1.548213657599242,3.480775058383973
31,1.7866681814193726,0.4695560038089752,2.184920310974121,1.4263662825151857,3.408327897508051
32,1.7406070232391357,0.5402563810348511,2.3763527870178223,1.3594098656336122,3.761486366554617
33,1.6809320449829102,0.6020440459251404,2.605713367462158,1.2761963827735208,3.794675255962477
34,1.608485460281372,0.6490672826766968,2.849292278289795,1.3073171124092922,3.735736888415457
35,1.52675461769104,0.6772478818893433,3.0912728309631348,1.391472923577782,3.6975374324394594
36,1.4405853748321533,0.6849526762962341,-2.961803436279297,1.2427162934388156,3.1691960924390012
37,1.3612825870513916,0.6743909120559692,-2.7583041191101074,1.4512750577919002,3.059195723332614
38,1.289483904838562,0.6485056281089783,-2.5871644020080566,1.6229287542641608,2.901177151623043
39,1.2222206592559814,0.6097346544265747,-2.450885057449341,1.7124719144064589,2.764017630371514
40,1.1610500812530518,0.5618700385093689,-2.3394196033477783,1.9899743245450383,2.9383918011442782
41,1.1033289432525635,0.5043637752532959,-2.2413156032562256,2.022376417480768,2.801125581108913
42,1.057816743850708,0.44953590631484985,-2.1699953079223633,2.1447191174733797,2.926687402242299
43,1.015364408493042,0.3899330198764801,-2.1008732318878174,2.0142056763004534,2.9749220673125354
44,0.9765685200691223,0.32712143659591675,-2.0183379650115967,1.8616022442165512,2.7861008606144853
45,0.9399027824401855,0.2544194757938385,-1.9231085777282715,1.849976754018174,2.727283707331278
46,0.9112358093261719,0.18100520968437195,-1.8318771123886108,2.0622267387822735,2.809288673730759
47,0.8918229937553406,0.11381711065769196,-1.7626993656158447,1.9558763733838531,2.658729743158374
48,0.8752519488334656,0.03532831370830536,-1.6888089179992676,2.163893966709236,2.906170872506332
49,0.8642534017562866,-0.048467494547367096,-1.6140352487564087,2.8734308336338668,2.11878063011332
50,0.860815167427063,-0.12206105142831802,-1.6271926164627075,3.627070705697974,1.3598185694745886
