,x,y,z,v,w
0,2.0081956386566158,-1.9815683364868164,1.8311972618103027,0.36707868560232054,0.3046900904437795
1,1.9970108270645144,-1.942345380783081,1.8339501619338991,0.8670593693402242,0.247028358903016
2,1.970431327819824,-1.8497445583343504,1.8497953414916992,0.7663987574570884,0.09594684294813582
3,1.9463249444961548,-1.7680724859237669,1.865885853767395,0.7649864423944699,-0.028716478427116332
4,1.9216926097869875,-1.6867214441299438,1.869011163711548,0.7379286398431735,0.18539549678461498
5,1.8971908092498782,-1.608475923538208,1.8387304544448853,0.7441918236986621,0.32289591802920903
6,1.8745241165161133,-1.5289553403854368,1.7895607948303225,0.7248322144561746,0.34536772275236594
7,1.8562437295913696,-1.4505205154418943,1.7357141971588137,0.7381536117573548,0.3857186573259437
8,1.8418445587158203,-1.3697773218154907,1.67650043964386,0.720490246779922,0.3907665183561395
9,1.8323872089385984,-1.290283441543579,1.6224980354309082,0.7469229822338609,0.3035198569182742
10,1.8273477554321291,-1.2074451446533203,1.5756741762161257,0.6172393819225863,0.34642822266115125
11,1.826115965843201,-1.138874053955078,1.5387015342712402,0.7390817073652922,0.20522160053424798
12,1.8282474279403689,-1.056781530380249,1.5071132183074951,0.7347131680384831,0.0506929741509925
13,1.8333276510238647,-0.9753049612045288,1.4986861944198608,0.7637509719738071,-0.04608236912799324
14,1.8395650386810305,-0.8906732797622681,1.5053035020828247,0.7434786787636781,-0.05244244306458512
15,1.8451011180877688,-0.8082502484321594,1.513345718383789,0.7527208226728006,-0.0947979942052033
16,1.85012948513031,-0.7247658967971802,1.5286972522735596,0.6254897838409544,-0.13043016271223618
17,1.8533958196640012,-0.6553438305854797,1.54267418384552,0.7472811680208378,-0.08188688108265918
18,1.855926275253296,-0.5723511576652527,1.5558186769485474,0.6330004067834527,-0.04594442754974537
19,1.8571350574493408,-0.5020281672477722,1.5578755140304563,0.7502129099841425,0.0015962600451486786
20,1.8582050800323489,-0.4186780452728272,1.5578464269638062,0.7513076767782343,-0.09600900602935702
21,1.8594903945922847,-0.33520931005477905,1.5751636028289795,0.7698664536415548,-0.13368297489029057
22,1.8594605922698972,-0.24966859817504886,1.595611333847046,0.7417339113384269,-0.07537197514502303
23,1.8576110601425169,-0.16727447509765625,1.6065069437026978,0.7500290480179347,0.01785277934120355
24,1.8545846939086916,-0.08399288356304169,1.6042301654815674,0.7353056655524035,0.02534908035377903
25,1.851793885231018,-0.002339933533221483,1.6001710891723633,0.7499295916682629,0.03028723503792996
26,1.8492666482925413,0.08094724267721176,1.5958328247070312,0.7235012733602341,-0.17469765181198404
27,1.8477150201797483,0.16132129728794098,1.619662523269653,0.7384662616059245,-0.5962278644001575
28,1.8451646566390991,0.2433334589004517,1.7117321491241455,0.7469649508894869,-0.9007552391575988
29,1.835589051246643,0.3257753252983093,1.860158920288086,0.7205389640907419,-1.109180762060964
30,1.815370798110962,0.4032402038574219,2.025531530380249,0.6503473439484923,-1.3108827165102954
31,1.7866681814193726,0.4695560038089752,2.1849203109741206,0.7594300917501644,-1.2348321030189564
32,1.7406070232391355,0.5402563810348511,2.3763527870178223,0.7731004485579662,-1.3639863913539996
33,1.6809320449829102,0.6020440459251404,2.605713367462158,0.777325598954722,-1.4479485782825297
